x	x			衛星画像	衛星画像
	3.1.2	防災情報	ハザードマップ	急傾斜地崩壊危険区域	急傾斜地崩壊危険区域
	3.1.2	防災情報	ハザードマップ	香東川・内場・椛川（ダム下流）_１００年確率浸水深	香東川・内場・椛川（ダム下流）_１００年確率浸水深
	3.1.2	防災情報	ハザードマップ	香東川・内場・椛川（ダム下流）_河岸侵食	香東川・内場・椛川（ダム下流）_河岸侵食
	3.1.2	防災情報	ハザードマップ	香東川・内場・椛川（ダム下流）_浸水継続時間	香東川・内場・椛川（ダム下流）_浸水継続時間
	3.1.2	防災情報	ハザードマップ	香東川・内場・椛川（ダム下流）_想定最大浸水深	香東川・内場・椛川（ダム下流）_想定最大浸水深
	3.1.2	防災情報	ハザードマップ	香東川・内場・椛川（ダム下流）_氾濫流	香東川・内場・椛川（ダム下流）_氾濫流
	3.1.2	防災情報	ハザードマップ	高潮浸水想定区域図_MAXALL_TIME_高松市	高潮浸水想定区域図_MAXALL_TIME_高松市
	3.1.2	防災情報	ハザードマップ	高潮浸水想定区域図_MAXALL_高松市	高潮浸水想定区域図_MAXALL_高松市
	3.1.2	防災情報	ハザードマップ	新川・春日川・吉田川_家屋倒壊(河岸侵食)	新川・春日川・吉田川_家屋倒壊(河岸侵食)
	3.1.2	防災情報	ハザードマップ	新川・春日川・吉田川_家屋倒壊(氾濫流)	新川・春日川・吉田川_家屋倒壊(氾濫流)
	3.1.2	防災情報	ハザードマップ	新川・春日川・吉田川_最大浸水深(70年)	新川・春日川・吉田川_最大浸水深(70年)
	3.1.2	防災情報	ハザードマップ	新川・春日川・吉田川_最大浸水深(想定最大)	新川・春日川・吉田川_最大浸水深(想定最大)
	3.1.2	防災情報	ハザードマップ	新川・春日川・吉田川_浸水継続時間	新川・春日川・吉田川_浸水継続時間
	3.1.2	防災情報	ハザードマップ	地すべり危険箇所	地すべり危険箇所
	3.1.2	防災情報	ハザードマップ	地すべり防止区域_下河内	地すべり防止区域_下河内
	3.1.2	防災情報	ハザードマップ	地すべり防止区域_硯	地すべり防止区域_硯
	3.1.2	防災情報	ハザードマップ	地すべり防止区域_四海	地すべり防止区域_四海
	3.1.2	防災情報	ハザードマップ	地すべり防止区域_馬越	地すべり防止区域_馬越
	3.1.2	防災情報	ハザードマップ	地すべり防止区域_肥土山	地すべり防止区域_肥土山
	3.1.2	防災情報	ハザードマップ	土砂災害警戒区域等_高松市イエロー	土砂災害警戒区域等_高松市イエロー
	3.1.2	防災情報	ハザードマップ	土砂災害警戒区域等_高松市レッド	土砂災害警戒区域等_高松市レッド
	3.1.2	防災情報	ハザードマップ	土石流危険渓流_区域	土石流危険渓流_区域
	3.1.2	防災情報	ハザードマップ	土石流危険渓流_主流路	土石流危険渓流_主流路
	3.1.2	防災情報	ハザードマップ	土石流危険渓流_流域	土石流危険渓流_流域
	3.1.2	防災情報	ハザードマップ	本津川_河岸侵食幅	本津川_河岸侵食幅
	3.1.2	防災情報	ハザードマップ	本津川_浸水継続時間	本津川_浸水継続時間
	3.1.2	防災情報	ハザードマップ	本津川_氾濫流による家屋倒壊危険ゾーン	本津川_氾濫流による家屋倒壊危険ゾーン
	3.1.2	防災情報	ハザードマップ	本津川その他外力(計画規模)5mメッシュ_region	本津川その他外力(計画規模)5mメッシュ_region
	3.1.2	防災情報	ハザードマップ	本津川想定最大5mメッシュ_region	本津川想定最大5mメッシュ_region
1	3.2.01	防災情報	IoT センサー	冠水状況		FloodSituation
1	3.2.02	防災情報	IoT センサー	降雨量		Rainfall
1	3.2.03	防災情報	IoT センサー	水位		WaterLevel
1	3.2.04	防災情報	IoT センサー	水位（県防災）		PrefectureWaterLevel
1	3.2.05	防災情報	IoT センサー	潮位		TideLevel
1	3.2.06	防災情報	IoT センサー	潮位（県防災）		PrefectureTideLevel
